id,name,date,tagline,description,minute,rating
1001010,Cloverfield,2008,Some Thing Has Found Us,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",85.0,3.38
1001011,Space Jam,1996,Get ready to jam.,"Swackhammer, an evil alien theme park owner, needs a new attraction at Moron Mountain. When his gang, the Nerdlucks, heads to Earth to kidnap Bugs Bunny and the Looney Tunes, Bugs challenges them to a basketball game to determine their fate. The aliens agree, but they steal the powers of NBA basketball players, including Larry Bird and Charles Barkley -- so Bugs gets some help from superstar Michael Jordan.",88.0,3.24
1001012,Insomnia,2002,A tough cop. A brilliant killer. An unspeakable crime.,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,118.0,3.53
1001013,Gran Torino,2008,Ever come across somebody you shouldn't have messed with?,"Widower Walt Kowalski is a grumpy, prejudiced, tough-minded, unhappy, old, Korean War veteran who can't get along with either his kids or his neighbours. His prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbour, Thao—a young Hmong teenager under pressure from his gang member cousin—tries to steal his Gran Torino, Walt sets out to reform the youth and takes steps to protect Thao and his family from the gangs that infest their neighborhood.",116.0,3.79
1001014,Wonder,2017,Are you ready to meet Auggie Pullman?,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",113.0,3.51
1001016,How to Train Your Dragon: The Hidden World,2019,The friendship of a lifetime,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",104.0,3.65
1001018,Minions,2015,"Before Gru, they had a history of bad bosses","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",91.0,2.76
1001019,Hell or High Water,2016,Blood always follows money.,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,102.0,3.92
1001021,Sin City,2005,Walk down the right back alley in Sin City and you can find anything...,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",124.0,3.68
1001022,Buffalo '66,1998,Billy Brown just got out of jail. Now he’s going to serve some real time. He’s going home.,"Billy is released after five years in prison. In the next moment, he kidnaps teenage student Layla and visits his parents with her, pretending she is his girlfriend and they will soon marry.",110.0,3.86
1001024,Irreversible,2002,Time destroys everything.,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass, and subsequently seeks revenge upon her assailant. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.",94.0,3.77
1001025,True Grit,2010,Punishment Comes One Way or Another.,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",110.0,3.81
1001026,Fear Street: 1666,2021,End the curse.,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late.",114.0,3.3
1001027,The Bourne Identity,2002,He was the perfect weapon until he became the target.,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",119.0,3.72
1001029,Where the Crawdads Sing,2022,Secrets are buried just beneath the surface.,"Abandoned by her family, Kya raises herself all alone in the marshes outside of her small town. When her former boyfriend is found dead, Kya is instantly branded by the local townspeople and law enforcement as the prime suspect for his murder.",126.0,3.2
1001031,Mission: Impossible III,2006,The Mission Begins 05:05:06.,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",126.0,3.35
1001032,Me and Earl and the Dying Girl,2015,A Little Friendship Never Killed Anyone.,"Greg is coasting through senior year of high school as anonymously as possible, avoiding social interactions like the plague while secretly making spirited, bizarre films with Earl, his only friend. But both his anonymity and friendship threaten to unravel when his mother forces him to befriend a classmate with leukemia.",105.0,3.82
1001033,Audition,1999,She always gets a part,"Seven years after the death of his wife, company executive Aoyama is invited to sit in on auditions for an actress. Leafing through the resumés in advance, his eye is caught by Yamazaki Asami, a striking young woman with ballet training.",115.0,3.82
1001036,The Mist,2007,"Belief divides them, mystery surrounds them, but fear changes everything.","After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",126.0,3.42
1001037,The Host,2006,Monsters are real.,"Following the dumping of gallons of toxic waste in the river, a giant mutated squid-like creature appears and begins attacking the populace. Gang-du's daughter Hyun-seo is snatched up by the creature; with his family to assist him, he sets off to find her.",120.0,3.76
1001038,Blonde,2022,"Watched by all, seen by none.","From her volatile childhood as Norma Jeane, through her rise to stardom and romantic entanglements, this reimagined fictional portrait of Hollywood legend Marilyn Monroe blurs the lines of fact and fiction to explore the widening split between her public and private selves.",167.0,2.05
1001039,Halloween Kills,2021,Evil dies tonight.,"The nightmare isn't over as unstoppable killer Michael Myers escapes from Laurie Strode's trap to continue his ritual bloodbath. Injured and taken to the hospital, Laurie fights through the pain as she inspires residents of Haddonfield, Ill., to rise up against Myers. Taking matters into their own hands, the Strode women and other survivors form a vigilante mob to hunt down Michael and end his reign of terror once and for all.",105.0,2.44
1001040,Damsel,2024,This is not a fairytale.,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,110.0,2.5
1001041,The Love Witch,2016,She loved men... to death,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder.",121.0,3.51
1001043,[REC],2007,One witness. One camera,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,78.0,3.68
1001046,Ghostbusters: Afterlife,2021,Uncover the past. Protect the future.,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",124.0,3.05
1001047,Sleepy Hollow,1999,Heads will roll,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. But the locals believe the culprit to be none other than the ghost of the legendary Headless Horseman.,105.0,3.49
1001050,Alita: Battle Angel,2019,An angel falls. A warrior rises.,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",122.0,3.18
1001051,X-Men: The Last Stand,2006,Take a Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men—led by Professor Charles Xavier—and the Brotherhood, a band of powerful mutants organised under Xavier's former ally, Magneto.",104.0,2.6
1001052,The Secret World of Arrietty,2010,Do not be seen by humans. That's been the law of children of the underfloor.,"14-year-old Arrietty and the rest of the Clock family live in peaceful anonymity as they make their own home from items ""borrowed"" from the house's human inhabitants. However, life changes for the Clocks when a human boy discovers Arrietty.",94.0,3.79
1001053,Paterson,2016,"If you ever left me, I'd tear my heart out and never put it back","A week in the life of Paterson, a poet bus driver, and his wife Laura, a very creative artist, who live in Paterson, New Jersey, hometown of many famous poets and artists.",118.0,3.9
1001054,Lisa Frankenstein,2024,If you can't meet your perfect boyfriend…make him.,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.",102.0,3.41
1001055,X-Men Origins: Wolverine,2009,Witness the Origin.,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",107.0,2.35
1001057,Red Notice,2021,Pro and cons.,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",118.0,2.44
1001058,The Nun,2018,Pray For Forgiveness,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",96.0,2.12
1001059,The Bling Ring,2013,"Living the Dream, One Heist at a Time","Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.",90.0,2.88
1001061,Belfast,2021,Our memories make us.,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.",98.0,3.48
1001062,Mission: Impossible II,2000,Expect the impossible again.,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",123.0,2.62
1001066,Thanksgiving,2023,There will be no leftovers.,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",106.0,3.03
1001067,Bruce Almighty,2003,In Bruce we trust,"Bruce Nolan toils as a 'human interest' television reporter in Buffalo, N.Y., but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God—and the Almighty responds, endowing Bruce with all of His divine powers.",101.0,3.19
1001071,Independence Day,1996,Earth. Take a good look. It might be your last.,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",145.0,3.32
1001074,Kung Fu Panda 3,2016,Grab destiny by the rice dumplings.,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",95.0,3.26
1001076,Cure,1997,Madness. Terror. Murder.,"A wave of gruesome murders is sweeping Tokyo. The only connection is a bloody X carved into the neck of each of the victims. In each case, the murderer is found near the victim and remembers nothing of the crime. Detective Takabe and psychologist Sakuma are called in to figure out the connection, but their investigation goes nowhere...",111.0,4.24
1001077,High School Musical 2,2007,They're facing their biggest challenge yet.......summer jobs,"The East High Wildcats are ready to have the time of their lives. Troy is thrilled when he's offered a job in a country club, but it's all part of Sharpay's plot to lure him away from Gabriella. How will it all turn out? All questions are answered on the night of the club's Talent Show.",108.0,3.18
1001078,Rush Hour,1998,The Fastest Hands in the East Meet the Biggest Mouth in the West.,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",98.0,3.54
1001079,Amsterdam,2022,"Let the love, murder and conspiracy begin.","In the 1930s, three friends—a doctor, a nurse, and an attorney—witness a murder, become suspects themselves and uncover one of the most outrageous plots in North American history.",134.0,2.55
1001080,Skinamarink,2022,In this house...,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",100.0,2.86
1001081,One Day,2011,Twenty years. Two people.,"A romantic comedy centered on Dexter and Emma, who first meet during their graduation in 1988 and proceed to keep in touch regularly. The film follows what they do on July 15 annually, usually doing something together.",107.0,3.41
1001083,Black Mirror: Bandersnatch,2018,Be right back,"In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.",90.0,3.23
1001085,Saint Maud,2019,Your Savior is Coming,"Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye.",85.0,3.5
1001086,Sing,2016,Auditions begin 2016.,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,108.0,3.04
1001087,The Lost City,2022,The adventure is real. The heroes are not.,"Follows a reclusive romance novelist who was sure nothing could be worse than getting stuck on a book tour with her cover model, until a kidnapping attempt sweeps them both into a cutthroat jungle adventure, proving life can be so much stranger, and more romantic, than any of her paperback fictions.",112.0,2.77
1001089,Pocahontas,1995,An American legend comes to life.,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",81.0,3.22
1001090,"As Above, So Below",2014,The only way out is down.,"When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",93.0,3.17
1001091,From Dusk Till Dawn,1996,One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",108.0,3.51
1001092,I Saw the Devil,2010,Abandon all compassion.,"Kyung-chul is a dangerous psychopath who kills for pleasure. He has committed infernal serial murders in diabolic ways that one cannot even imagine and his victims range from young women to even children. The police have chased him for a long time, but were unable to catch him. One day, Joo-yeon, daughter of a retired police chief becomes his prey and is found dead in a horrific state. Her fiance Soo-hyun, a top secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take bloody vengeance against the killer, even if it means that he must become a monster himself to get this monstrous and inhumane killer.",144.0,4.04
1001094,The Haunting of Hill House,2018,You're expected,"The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it.",575.0,4.33
1001096,The King's Man,2021,Witness the bloody origin.,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",131.0,2.77
1001098,I Saw the TV Glow,2024,Look a little closer.,"Teenager Owen is just trying to make it through life in the suburbs when his classmate introduces him to a mysterious late-night TV show — a vision of a supernatural world beneath their own. In the pale glow of the television, Owen’s view of reality begins to crack.",100.0,3.71
1001099,A.I. Artificial Intelligence,2001,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",146.0,3.6
1001100,Vice,2018,The Untold True Story That Changed The Course Of History,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",132.0,3.42
1001101,Lars and the Real Girl,2007,The search for true love begins outside the box.,"Extremely shy Lars finds it impossible to make friends or socialize. His brother and sister-in-law worry about him, so when he announces that he has a girlfriend he met on the Internet, they are overjoyed. But Lars' new lady is a life-size plastic woman. On the advice of a doctor, his family and the rest of the community go along with his delusion.",106.0,3.8
1001102,American Pie,1999,There's nothing like your first piece.,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",95.0,3.1
1001103,The Meg,2018,Chomp On This,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",113.0,2.35
1001104,Alien: Covenant,2017,The path to paradise begins in hell,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",122.0,2.96
1001106,The Da Vinci Code,2006,Seek the truth,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",149.0,3.09
1001109,Robots,2005,The Biggest Comedy Ever Assembled!,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",91.0,3.24
1001111,Quantum of Solace,2008,"For love, for hate, for justice, for revenge.","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",106.0,2.82
1001112,White Noise,2022,You can’t hear it if it’s everywhere.,"Jack Gladney, professor of Hitler studies at The-College-on-the-Hill, husband to Babette, and father to four children/stepchildren, is torn asunder by a chemical spill from a rail car that releases an “Airborne Toxic Event”, forcing Jack to confront his biggest fear – his own mortality.",136.0,2.99
1001114,King Kong,2005,The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",187.0,3.35
1001115,Vivarium,2019,You're home. Forever.,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",97.0,2.79
1001116,The Lorax,2012,Meet the original force of nature.,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",86.0,3.14
1001117,Cars 3,2017,It's not over until lightning strikes.,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",102.0,2.97
1001118,The Tale of the Princess Kaguya,2013,A princess's crime and punishment,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her - but ultimately she must confront her fate, the punishment for her crime.",137.0,4.24
1001119,Dark Phoenix,2019,The phoenix will rise,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",114.0,2.06
1001122,Halloween Ends,2022,"This Halloween, their saga ends.","Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",111.0,2.11
1001123,When Evil Lurks,2023,There's no point in praying.,"Residents of a small rural town discover that a demon is about to be born among them. They desperately try to escape before the evil is born, but it may be too late.",99.0,3.57
1001124,War Dogs,2016,An American dream,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",114.0,3.39
1001125,2 Fast 2 Furious,2003,How Fast Do You Want It?,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",108.0,2.93
1001126,Pitch Perfect 2,2015,We're back pitches,"The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",115.0,2.91
1001127,Creed II,2018,There's More to Lose than a Title,"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",130.0,3.52
1001128,The Room,2003,Can you ever really trust anyone?,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. The happy-go-lucky guy sees his world fall apart when his friends begin to betray him one-by-one.",99.0,2.6
1001129,Rio,2011,1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",96.0,3.28
1001130,Set It Up,2018,Finding love takes some assistants.,Two overworked and underpaid assistants come up with a plan to get their bosses off their backs by setting them up with each other.,105.0,3.31
1001131,Searching,2018,No one is lost without a trace,"After David Kim's 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop.",102.0,3.72
1001133,The Fallout,2021,Nothing will ever be the same.,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",96.0,3.52
1001135,Wind River,2017,Nothing is harder to track than the truth.,An FBI agent teams with the town's veteran game tracker to investigate a murder that occurred on a Native American reservation.,107.0,3.83
1001136,Office Space,1999,Work sucks.,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,90.0,3.73
1001137,Kubo and the Two Strings,2016,The quest begins,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",102.0,3.93
1001138,Lamb,2021,Mother. Nature.,"A couple discover a mysterious half-lamb/half-human newborn on their farm in Iceland. The unexpected prospect of family life brings them much joy, before ultimately destroying them.",106.0,3.13
1001140,The Lovely Bones,2009,The story of a life and everything that came after...,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.",136.0,3.31
1001141,Miss Congeniality,2000,Never Mess With An Agent In A Dress.,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",111.0,3.32
1001142,Chicken Little,2005,"When it comes to saving the world, it helps to be a little chicken.","When the sky really is falling and sanity has flown the coop, who will rise to save the day? Together with his hysterical band of misfit friends, Chicken Little must hatch a plan to save the planet from alien invasion and prove that the world's biggest hero is a little chicken.",81.0,2.75
1001143,Argylle,2024,"The greater the spy, the bigger the lie.","When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",139.0,2.29
1001144,Drive-Away Dolls,2024,A story of two ladies going south.,"Jamie, an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of inept criminals along the way.",84.0,2.88
1001145,Taken,2008,They took his daughter.  He'll take their lives.,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",94.0,3.48
1001146,In Time,2011,Time Is Power,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",109.0,2.88
1001147,The Guardians of the Galaxy Holiday Special,2022,The perfect present is a galaxy away.,"The Guardians, who are on a mission to make Christmas unforgettable for Quill, head to Earth in search of the perfect present.",45.0,3.25
1001148,Missing,2023,No one disappears without a trace.,"When her mother disappears while on vacation in Colombia with her new boyfriend, June’s search for answers is hindered by international red tape. Stuck thousands of miles away in Los Angeles, June creatively uses all the latest technology at her fingertips to try and find her before it’s too late. But as she digs deeper, her digital sleuthing raises more questions than answers... and when June unravels secrets about her mom, she discovers that she never really knew her at all.",111.0,3.48
1001149,Love & Other Drugs,2010,Addicted to one-night stands or dependent on one another?,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",112.0,3.15
1001150,The Wailing,2016,Never be tempted.,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,156.0,3.98
1001152,Gran Turismo,2023,From gamer to racer.,The ultimate wish fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,135.0,3.34
1001153,No One Will Save You,2023,A home invasion no one saw coming.,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,93.0,3.04
1001154,Brother Bear,2003,Nature Calls,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",85.0,3.65
1001155,Bad Times at the El Royale,2018,All roads lead here,"Lake Tahoe, 1969. Seven strangers, each one with a secret to bury, meet at El Royale, a decadent motel with a dark past. In the course of a fateful night, everyone will have one last shot at redemption.",141.0,3.47
1001158,Antichrist,2009,"When nature turns evil, true terror awaits.","A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",109.0,3.4
1001160,Contagion,2011,Nothing spreads like fear,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",106.0,3.37
1001161,Gattaca,1997,There is no gene for the human spirit.,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",106.0,3.78
1001162,Treasure Planet,2002,Find your place in the universe.,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",95.0,3.83
